sample_ID,site,timestamp,pCH4_uatm,CH4_uM,CH4_notes,pCO2_uatm,CO2_uM,CO2_notes,pN2O_uatm,N2O_uM,N2O_notes
COMO.SS.20200630,COMO,6/30/2020 16:15,2.22,0.007,,781,61.6,,1.197,0.073,
COMO.SS.20200706,COMO,7/6/2020 16:12,2.33,0.007,,785,60.8,,0.542,0.032,
COMO.SS.20200708,COMO,7/8/2020 16:33,1.19,0.004,,429,33.3,,0.385,0.023,
COMO.SS.20200714,COMO,7/14/2020 16:03,1.85,0.005,,631,46.9,,0.77,0.044,
COMO.SS.20200716,COMO,7/16/2020 14:45,2.39,0.007,,605,46.7,,0.616,0.037,
COMO.SS.20200720,COMO,7/20/2020 19:54,4.57,0.012,,643,44.1,,0.76,0.04,
COMO.SS.20200729,COMO,7/29/2020 15:16,4.93,0.015,,603,46.6,,0.706,0.042,
COMO.SS.20200806,COMO,8/7/2020 2:54,9.48,0.027,,787,58.7,,1.687,0.097,
COMO.SS.20200811,COMO,8/11/2020 16:05,9.94,0.029,,864,66.2,,1.059,0.063,
COMO.SS.20200824,COMO,8/24/2020 16:08,7.29,0.021,,595,44.7,,0.355,0.021,
CRAM.C0.20161121,CRAM,11/21/2016 16:15,249.3,0.583,,1133,70.2,,0.855,0.041,
CRAM.C0.20170207,CRAM,2/7/2017 17:15,2.75,0.007,,1202,89.1,,0.737,0.044,
CRAM.C0.20171107,CRAM,11/7/2017 17:08,166.17,0.392,,1241,78,,0.575,0.028,
CRAM.C0.20180213,CRAM,2/13/2018 18:28,17.41,0.045,,2342,166.4,,0.677,0.038,
CRAM.C0.20180305,CRAM,3/5/2018 15:30,3.25,0.008,,1800,128.2,,0.635,0.036,
CRAM.C0.20181106,CRAM,11/6/2018 16:42,56.25,0.135,,1268,81,,0.418,0.021,
CRAM.C0.20190218,CRAM,2/18/2019 17:45,3.51,0.009,,1028,69.3,,0.459,0.024,
CRAM.C0.20190304,CRAM,3/4/2019 20:19,3.78,0.01,,1078,78,,0.364,0.021,
CRAM.C0.20190501,CRAM,5/1/2019 15:11,174.7,0.414,,2221,139.9,,0.402,0.02,
CRAM.C0.20191105,CRAM,11/5/2019 15:37,38.48,0.093,,880,56.5,,0.587,0.03,
CRAM.C0.20200106,CRAM,1/6/2020 17:24,57.72,0.151,,1380,98.5,,0.392,0.022,
CRAM.C0.20200203,CRAM,2/3/2020 16:47,3.9,0.01,,1768,125.9,,0.489,0.028,
CRAM.C0.20200302,CRAM,3/2/2020 15:55,5.21,0.014,,1799,133.6,,0.549,0.033,
CRAM.C1.20160607,CRAM,6/7/2016 18:40,16.42,0.029,,6138,267.6,,0.614,0.02,
CRAM.C1.20160705,CRAM,7/5/2016 16:40,149.54,0.229,,419,15.2,,0.392,0.01,
CRAM.C1.20160809,CRAM,8/9/2016 18:20,344.19,0.519,,1663,59.1,,0.728,0.019,
CRAM.C1.20160907,CRAM,9/7/2016 16:15,118.75,0.193,,923,36,,0.751,0.022,
CRAM.C1.20160927,CRAM,9/27/2016 17:20,130.27,0.239,,1083,49.2,,0.754,0.026,
CRAM.C1.20161018,CRAM,10/18/2016 15:20,85.86,0.173,,968,49.5,,0.629,0.024,
CRAM.C1.20161108,CRAM,11/8/2016 17:15,67.34,0.145,,965,53.8,,0.705,0.03,
CRAM.C1.20170418,CRAM,4/18/2017 15:45,123.13,0.279,,1528,90.8,,0.745,0.034,
CRAM.C1.20170606,CRAM,6/6/2017 15:34,134.77,0.225,,932,37.7,,0.575,0.017,
CRAM.C1.20170711,CRAM,7/11/2017 16:22,200.89,0.312,,711,26.2,,0.439,0.012,
CRAM.C1.20170801,CRAM,8/1/2017 15:43,194.43,0.29,,589,20.6,,0.396,0.01,
CRAM.C1.20170829,CRAM,8/29/2017 15:25,83.62,0.141,,711,29.2,,0.44,0.013,
CRAM.C1.20171003,CRAM,10/3/2017 16:11,64.4,0.116,,958,42.5,,0.33,0.011,
CRAM.C1.20171016,CRAM,10/16/2017 16:02,212.1,0.419,,1321,66.2,,0.001,0,BDL
CRAM.C1.20180507,CRAM,5/7/2018 15:38,164.07,0.357,,3886,220,,1.006,0.044,
CRAM.C1.20180522,CRAM,5/22/2018 15:45,147.27,0.261,,1344,58.6,,1.034,0.034,
CRAM.C1.20180605,CRAM,6/5/2018 17:40,0.01,0,BDL,595,24.9,,0.528,0.016,
CRAM.C1.20180710,CRAM,7/10/2018 16:03,105.97,0.156,,880,30.4,,0.001,0,BDL
CRAM.C1.20180807,CRAM,8/7/2018 15:38,170.9,0.267,,1023,38.1,,0.001,0,BDL
CRAM.C1.20180911,CRAM,9/11/2018 14:58,90.16,0.151,,1844,75,,0.69,0.021,
CRAM.C1.20181002,CRAM,10/2/2018 15:58,76.42,0.149,,1237,60.9,,0.958,0.036,
CRAM.C1.20181016,CRAM,10/16/2018 16:35,899.64,2.003,,2044,118.9,,1.631,0.073,
CRAM.C1.20190522,CRAM,5/22/2019 14:51,38.31,0.078,,939,48.4,,0.285,0.011,
CRAM.C1.20190604,CRAM,6/4/2019 17:20,131.91,0.234,,529,23,,0.453,0.015,
CRAM.C1.20190709,CRAM,7/9/2019 14:55,152.27,0.228,,973,34.4,,0.495,0.013,
CRAM.C1.20190806,CRAM,8/6/2019 15:46,116.66,0.177,,1572,56.1,,0.984,0.026,
CRAM.C1.20190909,CRAM,9/9/2019 14:53,73.43,0.131,,796,35.1,,0.382,0.013,
CRAM.C1.20191001,CRAM,10/1/2019 14:53,115.29,0.21,,811,36.7,,0.346,0.012,
CRAM.C1.20191015,CRAM,10/15/2019 14:41,371.17,0.795,,1211,67.1,,0.447,0.019,
CRAM.C1.20200706,CRAM,7/6/2020 13:35,288.02,0.406,,603,19.7,,0.833,0.02,
CRAM.C1.20200804,CRAM,8/4/2020 15:41,130.86,0.21,,267,10.3,,0.571,0.016,
CRAM.C1.20200901,CRAM,9/1/2020 17:30,165.87,0.275,,787,31.6,,0.55,0.016,
CRAM.C2.20160607,CRAM,6/7/2016 19:03,264.26,0.628,,604,38.1,,0.462,0.023,
CRAM.C2.20160705,CRAM,7/5/2016 17:35,165.94,0.394,,4030,254.3,,0.304,0.015,
CRAM.C2.20160809,CRAM,8/9/2016 19:30,10745.89,25.298,,11283,704.5,,0.229,0.011,
CRAM.C2.20160907,CRAM,9/7/2016 16:45,14902.33,34.839,,6335,392.3,,0.191,0.009,
CRAM.C2.20160927,CRAM,9/27/2016 17:35,33510.88,79.504,,7204,452.7,,0.237,0.012,
CRAM.C2.20161018,CRAM,10/18/2016 15:45,37662.82,89.231,,7246,454.5,,0.302,0.015,
CRAM.C2.20161108,CRAM,11/8/2016 17:45,45166.07,104.894,,7698,473.3,,0.325,0.016,
CRAM.C2.20170418,CRAM,4/18/2017 16:30,68.18,0.165,,2838,183.7,,0.645,0.033,
CRAM.C2.20170606,CRAM,6/6/2017 16:21,24.64,0.058,,3766,233.2,,0.597,0.029,
CRAM.C2.20170711,CRAM,7/11/2017 16:23,995.54,2.345,,5190,324.1,,0.418,0.02,
CRAM.C2.20170801,CRAM,8/1/2017 15:59,11422.17,17.155,,10327,365.4,,0.499,0.013,
CRAM.C2.20170829,CRAM,8/29/2017 15:40,14873.44,34.784,,4555,282.3,,0.093,0.005,
CRAM.C2.20171003,CRAM,10/3/2017 16:55,26790.4,62.566,,6791,420.1,,0.055,0.003,
CRAM.C2.20171016,CRAM,10/16/2017 16:16,51586.15,120.473,,8418,520.7,,0.001,0,BDL
CRAM.C2.20180605,CRAM,6/5/2018 17:20,114.63,0.272,,490,30.9,,0.1,0.005,
CRAM.C2.20180710,CRAM,7/10/2018 16:28,1475.02,3.464,,3455,215.7,,0.001,0,BDL
CRAM.C2.20180807,CRAM,8/7/2018 15:39,20830.87,48.986,,5996,374.5,,0.001,0,BDL
CRAM.C2.20180911,CRAM,9/11/2018 14:16,19103.02,44.61,,7700,477,,0.292,0.014,
CRAM.C2.20181002,CRAM,10/2/2018 15:59,23575.9,55.214,,5439,337.8,,0.232,0.011,
CRAM.C2.20190522,CRAM,5/22/2019 15:15,61.34,0.146,,2470,155.5,,0.411,0.02,
CRAM.C2.20190604,CRAM,6/4/2019 17:42,26.94,0.064,,2702,170.4,,0.371,0.018,
CRAM.C2.20190709,CRAM,7/9/2019 15:20,56.34,0.132,,3358,208.4,,0.277,0.013,
CRAM.C2.20190806,CRAM,8/6/2019 16:06,1863.26,4.374,,5784,359.7,,0.295,0.014,
CRAM.C2.20190909,CRAM,9/9/2019 15:43,17246.8,39.981,,7228,443.6,,0.001,0,BDL
CRAM.C2.20191001,CRAM,10/1/2019 15:06,15498.1,36.064,,7080,435.9,,0.047,0.002,
CRAM.C2.20191015,CRAM,10/15/2019 15:10,383.18,0.9,,1034,64.2,,0.35,0.017,
CRAM.C2.20200706,CRAM,7/6/2020 13:51,7202.88,16.845,,5419,335.9,,0.362,0.018,
CRAM.C2.20200804,CRAM,8/4/2020 16:34,8746.98,20.564,,5899,368.3,,0.201,0.01,
CRAM.C2.20200901,CRAM,9/1/2020 17:41,28379.1,66.88,,7038,439.9,,0.146,0.007,
CRAM.IN.20160607,CRAM,6/7/2016 16:06,156.39,0.279,,979,43,,0.564,0.019,
CRAM.IN.20160705,CRAM,7/5/2016 15:55,249.99,0.386,,676,24.7,,0.368,0.01,
CRAM.IN.20160809,CRAM,8/9/2016 16:40,358.27,0.54,,1386,49.3,,0.569,0.015,
CRAM.IN.20160907,CRAM,9/7/2016 15:20,125.65,0.204,,791,30.9,,0.691,0.02,
CRAM.IN.20160927,CRAM,9/27/2016 16:30,148.98,0.274,,1232,56.1,,1.55,0.053,
CRAM.IN.20161108,CRAM,11/8/2016 16:20,67.99,0.147,,1445,81.1,,0.67,0.029,
CRAM.IN.20161121,CRAM,11/21/2016 15:35,240.75,0.568,,1081,67.8,,0.879,0.043,
CRAM.IN.20170418,CRAM,4/18/2017 14:55,147.93,0.335,,1635,97.1,,0.734,0.034,
CRAM.IN.20170606,CRAM,6/6/2017 15:03,133.37,0.223,,879,35.6,,0.703,0.021,
CRAM.IN.20170711,CRAM,7/11/2017 15:11,145.76,0.224,,572,20.8,,0.452,0.012,
CRAM.IN.20170801,CRAM,8/1/2017 14:58,387.59,0.578,,1116,39.2,,0.501,0.013,
CRAM.IN.20170829,CRAM,8/29/2017 14:42,161.31,0.272,,954,39,,0.309,0.009,
CRAM.IN.20171003,CRAM,10/3/2017 15:01,70.97,0.128,,980,43.7,,0.32,0.011,
CRAM.IN.20171016,CRAM,10/16/2017 15:32,195.73,0.389,,1263,63.6,,0.001,0,BDL
CRAM.IN.20171107,CRAM,11/7/2017 16:28,251.94,0.599,,1034,65.5,,0.618,0.031,
CRAM.OT.20160607,CRAM,6/7/2016 14:45,156.55,0.281,,901,40,,0.65,0.022,
CRAM.OT.20160705,CRAM,7/5/2016 15:15,194.89,0.302,,744,27.4,,0.547,0.015,
CRAM.OT.20160809,CRAM,8/9/2016 15:40,291.88,0.444,,1762,63.3,,0.565,0.015,
CRAM.OT.20160907,CRAM,9/7/2016 14:50,116.45,0.189,,870,34,,0.727,0.021,
CRAM.OT.20160927,CRAM,9/27/2016 15:57,113.59,0.209,,729,33.1,,0.784,0.027,
CRAM.OT.20161108,CRAM,11/8/2016 15:55,74.29,0.159,,866,48.2,,0.682,0.029,
CRAM.OT.20161121,CRAM,11/21/2016 15:10,43.03,0.101,,6556,407.7,,0.621,0.03,
CRAM.OT.20170418,CRAM,4/18/2017 14:20,122.22,0.278,,1566,93.6,,0.603,0.028,
CRAM.OT.20170606,CRAM,6/6/2017 14:38,143.16,0.25,,1186,50.7,,0.489,0.016,
CRAM.OT.20170711,CRAM,7/11/2017 14:41,147.52,0.229,,585,21.5,,0.736,0.02,
CRAM.OT.20170801,CRAM,8/1/2017 14:16,155.24,0.232,,669,23.6,,0.644,0.017,
CRAM.OT.20170829,CRAM,8/29/2017 14:25,91.02,0.153,,943,38.6,,0.299,0.009,
CRAM.OT.20171003,CRAM,10/3/2017 14:40,56.3,0.101,,948,42.2,,0.318,0.011,
CRAM.OT.20171016,CRAM,10/16/2017 14:49,182.67,0.363,,1212,61.1,,0.001,0,BDL
CRAM.OT.20171107,CRAM,11/7/2017 16:10,233.9,0.556,,1098,69.6,,0.517,0.026,
CUPE.SS.20160526,CUPE,5/26/2016 11:44,9.34,0.014,,1357,47.9,,0.399,0.01,
CUPE.SS.20160607,CUPE,6/7/2016 12:23,7.34,0.011,,1388,47.6,,0.411,0.01,
CUPE.SS.20160623,CUPE,6/23/2016 11:57,7.09,0.011,,1278,45.9,,0.85,0.022,
CUPE.SS.20160705,CUPE,7/5/2016 12:40,7.81,0.011,,1454,50.6,,0.265,0.007,
CUPE.SS.20160720,CUPE,7/20/2016 11:49,4.65,0.007,,1424,50.8,,0.452,0.012,
CUPE.SS.20160802,CUPE,8/2/2016 11:18,9.33,0.014,,1266,44.4,,0.81,0.021,
CUPE.SS.20160816,CUPE,8/16/2016 12:53,5.51,0.009,,1301,49.2,,0.685,0.019,
CUPE.SS.20160830,CUPE,8/30/2016 13:45,4.67,0.007,,2071,72.7,,1.491,0.038,
CUPE.SS.20160908,CUPE,9/8/2016 12:38,6,0.009,,1362,48.3,,0.621,0.016,
CUPE.SS.20160920,CUPE,9/20/2016 11:35,259.88,0.393,,588,21.2,,0.33,0.009,
CUPE.SS.20160926,CUPE,9/26/2016 11:46,3.01,0.005,,1052,37.9,,1.167,0.031,
CUPE.SS.20161004,CUPE,10/4/2016 12:35,4.07,0.006,,1103,38.7,,1.373,0.035,
CUPE.SS.20161017,CUPE,10/17/2016 11:25,7.91,0.012,,1320,47.1,,0.001,0,BDL
CUPE.SS.20161025,CUPE,10/25/2016 12:57,5.47,0.008,,1235,44.5,,3.587,0.095,
CUPE.SS.20161031,CUPE,10/31/2016 11:35,4.97,0.008,,1231,44.4,,2.21,0.058,
CUPE.SS.20161107,CUPE,11/7/2016 12:58,6.39,0.01,,1240,44.3,,1.949,0.051,
CUPE.SS.20161121,CUPE,11/21/2016 12:33,4.85,0.007,,926,33.3,,0.872,0.023,
CUPE.SS.20161206,CUPE,12/6/2016 11:59,7.36,0.011,,1060,38.5,,0.448,0.012,
CUPE.SS.20161220,CUPE,12/20/2016 13:50,5.27,0.008,,1028,37.2,,1.209,0.032,
CUPE.SS.20170221,CUPE,2/21/2017 11:43,4.13,0.006,,1133,42.7,,0.439,0.012,
CUPE.SS.20170301,CUPE,3/1/2017 11:27,4.91,0.008,,1125,42.3,,0.631,0.018,
CUPE.SS.20170321,CUPE,3/21/2017 11:29,2.06,0.003,,390,14.6,,0.001,0,BDL
CUPE.SS.20170418,CUPE,4/18/2017 11:58,0.01,0,BDL,1053,38.7,,0.703,0.019,
CUPE.SS.20170516,CUPE,5/16/2017 12:10,1.48,0.002,,1129,39.9,,0.841,0.022,
CUPE.SS.20170523,CUPE,5/23/2017 11:27,2.95,0.004,,1252,44.8,,0.577,0.015,
CUPE.SS.20170613,CUPE,6/13/2017 11:34,3.81,0.006,,1116,40.1,,0.776,0.02,
CUPE.SS.20170622,CUPE,6/22/2017 11:19,5.46,0.008,,1130,40.6,,0.523,0.014,
CUPE.SS.20170711,CUPE,7/11/2017 11:22,4.58,0.007,,1161,40.7,,0.542,0.014,
CUPE.SS.20170720,CUPE,7/20/2017 11:23,4.3,0.006,,2010,68.3,,0.3,0.007,
CUPE.SS.20170810,CUPE,8/10/2017 11:15,5.6,0.008,,1616,56.2,,0.001,0,BDL
CUPE.SS.20170815,CUPE,8/15/2017 11:11,10.05,0.015,,1533,53.2,,0.284,0.007,
CUPE.SS.20170828,CUPE,8/28/2017 11:35,9.85,0.015,,1506,54.2,,0.458,0.012,
CUPE.SS.20170912,CUPE,9/12/2017 11:25,4.92,0.007,,1146,40.6,,0.895,0.023,
CUPE.SS.20171107,CUPE,11/7/2017 11:47,13.22,0.02,,1245,44.2,,0.363,0.009,
CUPE.SS.20171114,CUPE,11/14/2017 11:31,18.49,0.028,,1236,44.5,,0.578,0.015,
CUPE.SS.20171129,CUPE,11/29/2017 11:22,21.66,0.033,,1203,43.8,,0.287,0.008,
CUPE.SS.20171219,CUPE,12/19/2017 11:54,31.55,0.048,,921,33.8,,0.545,0.015,
CUPE.SS.20180116,CUPE,1/16/2018 12:00,26.68,0.041,,1911,70.7,,1.069,0.029,
CUPE.SS.20180220,CUPE,2/20/2018 12:32,16.26,0.025,,1374,51,,0.588,0.016,
CUPE.SS.20180228,CUPE,2/28/2018 11:30,13.5,0.021,,1220,46.6,,0.592,0.017,
CUPE.SS.20180320,CUPE,3/20/2018 12:47,27.27,0.042,,1284,47.6,,0.605,0.017,
CUPE.SS.20180417,CUPE,4/17/2018 11:29,16.69,0.025,,1399,51.1,,0.365,0.01,
CUPE.SS.20180425,CUPE,4/25/2018 11:27,13.73,0.021,,982,36.5,,0.465,0.013,
CUPE.SS.20180515,CUPE,5/15/2018 11:23,20.37,0.031,,1145,41.1,,0.663,0.017,
CUPE.SS.20180524,CUPE,5/24/2018 11:44,40.77,0.061,,8357,300.3,,1.169,0.031,
CUPE.SS.20180613,CUPE,6/13/2018 11:20,0.01,0,BDL,695,24.1,,0.472,0.012,
CUPE.SS.20180620,CUPE,6/20/2018 11:45,18.75,0.027,,1342,45.9,,0.248,0.006,
CUPE.SS.20180710,CUPE,7/10/2018 11:44,19.29,0.028,,1089,37.4,,0.564,0.014,
CUPE.SS.20180719,CUPE,7/19/2018 11:26,15.35,0.023,,1312,45.9,,0.679,0.017,
CUPE.SS.20180807,CUPE,8/7/2018 11:18,15.66,0.023,,1408,49,,0.447,0.011,
CUPE.SS.20180813,CUPE,8/13/2018 11:26,17.9,0.026,,1083,37.9,,0.371,0.01,
CUPE.SS.20180827,CUPE,8/27/2018 11:24,9.89,0.015,,991,35.6,,0.674,0.018,
CUPE.SS.20180912,CUPE,9/12/2018 11:25,0.01,0,BDL,1180,42.6,,0.477,0.013,
CUPE.SS.20180918,CUPE,9/18/2018 11:42,5.82,0.009,,1936,67.9,,0.454,0.012,
CUPE.SS.20180924,CUPE,9/24/2018 11:52,20.63,0.031,,1261,45.2,,0.551,0.015,
CUPE.SS.20181003,CUPE,10/3/2018 11:36,6.24,0.01,,1324,48.6,,0.625,0.017,
CUPE.SS.20181016,CUPE,10/16/2018 11:28,5.8,0.009,,1381,49.9,,0.484,0.013,
CUPE.SS.20181023,CUPE,10/23/2018 11:24,14.22,0.021,,1350,48.5,,0.689,0.018,
CUPE.SS.20181029,CUPE,10/29/2018 11:31,8.32,0.013,,1053,38.3,,0.456,0.012,
CUPE.SS.20181106,CUPE,11/6/2018 11:33,5.26,0.008,,1213,44.7,,0.501,0.014,
CUPE.SS.20181113,CUPE,11/13/2018 11:23,3.35,0.005,,1288,46.4,,0.001,0,BDL
CUPE.SS.20181128,CUPE,11/28/2018 11:19,6.24,0.011,,1246,50.3,,0.572,0.017,
CUPE.SS.20181218,CUPE,12/18/2018 11:28,1.26,0.002,,956,35.4,,0.334,0.009,
CUPE.SS.20190115,CUPE,1/15/2019 11:38,6.78,0.011,,965,36.6,,0.36,0.01,
CUPE.SS.20190212,CUPE,2/12/2019 11:25,0.01,0,BDL,655,24.8,,0.299,0.008,
CUPE.SS.20190304,CUPE,3/4/2019 11:25,3.14,0.005,,863,32.1,,0.33,0.009,
CUPE.SS.20190312,CUPE,3/12/2019 11:31,3.5,0.006,,1051,40.1,,0.436,0.012,
CUPE.SS.20190409,CUPE,4/9/2019 11:48,3.73,0.006,,1105,41.4,,0.41,0.011,
CUPE.SS.20190429,CUPE,4/29/2019 11:21,3.07,0.005,,1188,42.8,,0.631,0.017,
CUPE.SS.20190507,CUPE,5/7/2019 11:20,3.07,0.005,,1474,52.8,,0.507,0.013,
CUPE.SS.20190523,CUPE,5/23/2019 11:08,8.35,0.012,,2341,82.3,,0.79,0.02,
CUPE.SS.20190604,CUPE,6/4/2019 11:43,7.06,0.01,,2192,76.9,,0.828,0.021,
CUPE.SS.20190624,CUPE,6/24/2019 11:27,6.99,0.01,,2570,88.6,,0.418,0.011,
CUPE.SS.20190709,CUPE,7/9/2019 11:45,2.56,0.004,,2525,87.1,,0.847,0.021,
CUPE.SS.20190718,CUPE,7/18/2019 11:46,0.01,0,BDL,1203,42.1,,0.707,0.018,
CUPE.SS.20190806,CUPE,8/6/2019 10:39,8.87,0.013,,2191,75.6,,1.705,0.043,
CUPE.SS.20190812,CUPE,8/12/2019 11:29,8.11,0.012,,1296,44.9,,0.31,0.008,
CUPE.SS.20190827,CUPE,8/27/2019 13:47,0.99,0.001,,2348,80.4,,1.442,0.036,
CUPE.SS.20190903,CUPE,9/3/2019 11:41,5.35,0.008,,2196,76.1,,0.935,0.024,
CUPE.SS.20190912,CUPE,9/12/2019 11:45,0.93,0.001,,1971,69.2,,0.795,0.02,
CUPE.SS.20190923,CUPE,9/23/2019 12:53,4.68,0.007,,2208,76.8,,0.642,0.016,
CUPE.SS.20191001,CUPE,10/1/2019 11:43,7.27,0.011,,1114,39,,0.206,0.005,
CUPE.SS.20191007,CUPE,10/7/2019 11:27,0.22,0,,1808,63.3,,0.57,0.015,
CUPE.SS.20191016,CUPE,10/16/2019 12:00,2.64,0.004,,1335,48.5,,0.75,0.02,
CUPE.SS.20191028,CUPE,10/28/2019 11:40,3.14,0.005,,1500,54.2,,1.234,0.033,
CUPE.SS.20191105,CUPE,11/5/2019 11:38,7.39,0.011,,1168,42.5,,0.447,0.012,
CUPE.SS.20191111,CUPE,11/11/2019 11:41,15.53,0.023,,1541,55,,1.251,0.033,
CUPE.SS.20191203,CUPE,12/3/2019 10:51,13.01,0.02,,1646,59.3,,0.606,0.016,
CUPE.SS.20191210,CUPE,12/10/2019 11:13,12.77,0.02,,1474,54.2,,1.139,0.031,
CUPE.SS.20200225,CUPE,2/25/2020 13:00,20.82,0.032,,1123,41.4,,0.836,0.023,
CUPE.SS.20200302,CUPE,3/2/2020 12:45,8.02,0.012,,1420,51.9,,0.807,0.022,
CUPE.SS.20200310,CUPE,3/10/2020 12:06,15.13,0.023,,1477,54.5,,0.682,0.019,
CUPE.SS.20200622,CUPE,6/22/2020 12:49,24.6,0.036,,2217,75.6,,1.489,0.037,
CUPE.SS.20200629,CUPE,6/29/2020 13:45,21.58,0.032,,1965,67.9,,1.256,0.032,
CUPE.SS.20200707,CUPE,7/7/2020 12:25,15.52,0.023,,1910,66,,0.817,0.021,
CUPE.SS.20200720,CUPE,7/20/2020 11:41,10.25,0.015,,1378,49.6,,1.009,0.027,
CUPE.SS.20200804,CUPE,8/4/2020 12:15,10.18,0.015,,1565,54,,0.782,0.02,
CUPE.SS.20200810,CUPE,8/10/2020 11:38,12,0.018,,1835,64.6,,1.234,0.032,
CUPE.SS.20200825,CUPE,8/25/2020 12:12,14.25,0.021,,1874,65.9,,1.919,0.049,
CUPE.SS.20200831,CUPE,8/31/2020 12:02,18.25,0.027,,1941,67.4,,1.272,0.032,
CUPE.SS.20200908,CUPE,9/8/2020 12:46,6.96,0.01,,901,32,,0.853,0.022,
CUPE.SS.20200914,CUPE,9/14/2020 12:35,12.65,0.019,,1861,64.8,,1.513,0.039,
CUPE.SS.20200923,CUPE,9/23/2020 12:40,11.53,0.017,,1870,64.8,,0.965,0.024,
FLNT.C0.20170307,FLNT,3/7/2017 18:00,140.42,0.231,,1551,62.8,,0.938,0.028,
FLNT.C0.20170314,FLNT,3/14/2017 14:50,137.07,0.236,,1888,80.5,,1.37,0.044,
FLNT.C0.20170329,FLNT,3/29/2017 14:03,143.68,0.224,,2457,92.4,,1.794,0.05,
FLNT.C0.20170411,FLNT,4/11/2017 14:35,225.11,0.36,,3007,117,,1.296,0.037,
FLNT.C0.20170418,FLNT,4/18/2017 14:15,164.99,0.247,,1833,65.8,,1.044,0.028,
FLNT.C0.20170425,FLNT,4/25/2017 14:04,156.26,0.237,,2797,101.8,,0.001,0,BDL
FLNT.C0.20170509,FLNT,5/9/2017 11:07,122.2,0.185,,2479,90,,1.485,0.04,
FLNT.C0.20170516,FLNT,5/16/2017 10:30,210.2,0.299,,2877,96.6,,3.159,0.077,
FLNT.C0.20170613,FLNT,6/13/2017 13:50,272.2,0.381,,3371,111.1,,1.222,0.029,
FLNT.C0.20170620,FLNT,6/20/2017 14:25,251.94,0.346,,3775,121.4,,1.508,0.035,
FLNT.C0.20170914,FLNT,9/14/2017 14:59,125.47,0.185,,2214,77.8,,1.215,0.031,
FLNT.C0.20171017,FLNT,10/17/2017 15:01,72.89,0.104,,939,31.7,,0.646,0.016,
FLNT.C0.20171107,FLNT,11/7/2017 16:19,39.89,0.063,,1884,72.3,,1.004,0.029,
FLNT.C0.20171114,FLNT,11/14/2017 15:23,28.63,0.048,,1276,52.6,,0.703,0.022,
FLNT.C0.20171228,FLNT,12/28/2017 14:48,33.66,0.062,,876,41,,0.407,0.015,
FLNT.C0.20180116,FLNT,1/16/2018 16:30,21.48,0.043,,879,45.1,,1.055,0.042,
FLNT.C0.20180123,FLNT,1/23/2018 16:30,42.88,0.08,,1331,63.3,,1.929,0.07,
FLNT.C0.20180130,FLNT,1/30/2018 15:20,34.33,0.065,,772,37.2,,0.47,0.017,
FLNT.C0.20180214,FLNT,2/14/2018 16:30,45.93,0.081,,1455,64.8,,0.975,0.033,
FLNT.C0.20180220,FLNT,2/20/2018 14:32,60.65,0.102,,1716,71.1,,0.821,0.025,
FLNT.C0.20180227,FLNT,2/27/2018 18:41,29.95,0.048,,1946,75.7,,1.015,0.029,
FLNT.C0.20180313,FLNT,3/13/2018 14:47,39.91,0.07,,1247,54.9,,0.917,0.03,
FLNT.C0.20180320,FLNT,3/20/2018 14:21,40.11,0.069,,1692,71.9,,0.91,0.029,
FLNT.C0.20180327,FLNT,3/27/2018 14:11,25.5,0.043,,1282,53.7,,0.732,0.023,
FLNT.C0.20180411,FLNT,4/11/2018 14:30,32.85,0.053,,1284,51.2,,0.633,0.019,
FLNT.C0.20180417,FLNT,4/17/2018 14:06,53.36,0.086,,2408,95.1,,0.927,0.027,
FLNT.C0.20180425,FLNT,4/25/2018 14:54,81.2,0.128,,2221,84.6,,1.191,0.034,
FLNT.C0.20180515,FLNT,5/15/2018 15:14,200.9,0.285,,2747,91.9,,0.001,0,BDL
FLNT.C0.20180522,FLNT,5/22/2018 14:36,259.87,0.363,,4129,135.3,,9.605,0.229,
FLNT.C0.20180619,FLNT,6/19/2018 15:53,175.65,0.237,,3647,114.2,,1.333,0.03,
FLNT.C0.20180626,FLNT,6/26/2018 17:19,271.36,0.359,,1863,57,,0.945,0.021,
FLNT.C0.20180724,FLNT,7/24/2018 13:37,133.9,0.175,,3691,111.3,,1.29,0.028,
FLNT.C0.20180829,FLNT,8/29/2018 15:06,283.89,0.38,,3955,123,,2.045,0.046,
FLNT.C0.20180919,FLNT,9/19/2018 13:34,193.63,0.26,,4118,128.9,,2.331,0.053,
FLNT.C0.20180925,FLNT,9/25/2018 17:07,190.19,0.256,,3121,97.8,,2.876,0.065,
FLNT.C0.20181023,FLNT,10/23/2018 15:32,323.53,0.484,,3633,130.2,,2.452,0.065,
FLNT.C0.20181113,FLNT,11/13/2018 18:18,141.03,0.231,,2296,92.1,,0.804,0.024,
FLNT.C0.20181127,FLNT,11/27/2018 15:30,131.03,0.242,,1942,90.6,,0.963,0.034,
FLNT.C0.20190122,FLNT,1/22/2019 20:16,106.7,0.201,,2160,103.2,,1.195,0.044,
FLNT.C0.20190205,FLNT,2/5/2019 18:29,110.34,0.206,,2533,120,,1.005,0.036,
FLNT.C0.20190212,FLNT,2/12/2019 18:16,120.91,0.217,,2117,95.5,,1.207,0.041,
FLNT.C0.20190226,FLNT,2/26/2019 14:30,116.56,0.195,,1728,71.2,,0.855,0.026,
